US1WIDA0014,20170531,SNWD,0,,,N,
ASN00039204,20170501,PRCP,0,,,a,
USC00397073,20170529,PRCP,0,,,7,0700
USC00361480,20170516,TOBS,11,,,7,0700
SWE00138610,20170523,TMAX,165,,,E,
USC00129670,20170510,MNPN,100,,,7,
US1MTPK0007,20170520,SNWD,0,,,N,
ASN00066124,20170520,PRCP,76,,,a,
USW00053139,20170522,PRCP,0,,,R,
USC00238082,20170522,TMAX,217,,,7,0730
USC00398980,20170521,SNWD,0,,,7,1600
CA007022375,20170530,PRCP,46,,,C,
US1TXVC0026,20170525,PRCP,0,,,N,
USW00013960,20170509,SNOW,0,,,W,
SWE00138746,20170518,PRCP,0,,,E,
FIE00145242,20170503,TMIN,2,,,E,
US1MAPL0023,20170529,PRCP,0,,,N,
USC00151998,20170502,PRCP,249,,,7,0700
USC00321456,20170515,TOBS,167,,,7,
CA007027470,20170507,TMAX,138,,,C,
USC00410345,20170517,TMAX,322,,,7,0700
CA007024627,20170501,PRCP,145,,,C,
CA001060R0K,20170523,WSFG,670,,,C,
USW00004836,20170522,WSF2,81,,,W,
USC00388887,20170506,TMAX,172,,,7,0700
USW00014927,20170527,AWND,21,,,W,
US1AKMS0011,20170504,WESD,0,,,N,
USR0000AALP,20170512,TMIN,33,H,,U,
USC00230051,20170521,TOBS,78,,,7,0800
USW00093819,20170502,TMIN,67,,,W,2400
JA000047765,20170523,TMIN,172,,,S,
US1NCAL0031,20170511,PRCP,0,,,N,
SPE00156234,20170504,TMAX,208,,,E,
ASN00056242,20170506,TMAX,215,,,a,
USS0009F04S,20170523,TMIN,-27,,,T,
USR0000OBAS,20170502,TMAX,194,H,,U,
USC00364763,20170523,SNOW,0,,,7,
US1NVWH0003,20170506,SNOW,0,,,N,
USC00415861,20170531,SNWD,0,,,7,0800
US1MDKN0005,20170502,SNOW,0,,,N,
CA001108395,20170509,TMIN,57,,,C,
USC00108062,20170505,SNWD,0,,,7,0800
SAM00040420,20170503,TAVG,343,H,,S,
USS0012C22S,20170502,TMAX,38,,,T,
US1MTSW0010,20170508,PRCP,71,,,N,
USC00084571,20170516,TMIN,233,,,7,2400
USC00368244,20170506,SNWD,0,,,7,0700
USW00023273,20170526,AWND,30,,,W,
ASN00041377,20170519,PRCP,0,,,a,
SWE00139972,20170525,PRCP,0,,,E,
USC00411429,20170516,WDMV,137,,,7,
GME00121210,20170508,TMAX,153,,,E,
USC00028468,20170501,SNWD,0,,,7,1700
USR0000CRDS,20170531,TAVG,159,,,U,
US1TXGA0015,20170502,SNOW,0,,,N,
USC00281582,20170507,SNOW,0,,,7,
USS0006G01S,20170502,TAVG,27,,,T,
USW00053119,20170517,SNOW,0,,,W,
USC00479345,20170511,SNWD,0,,,7,0700
MLM00061233,20170512,TAVG,348,H,,S,
US1GADG0004,20170504,PRCP,0,,,N,
USC00258090,20170515,TMIN,100,,,7,0800
CA00307KPFP,20170518,WDFG,0,,,C,
USC00050848,20170521,PRCP,0,T,,7,1700
USC00136527,20170514,SNWD,0,,,7,
USC00212166,20170524,SNOW,0,,,H,
RSM00031521,20170511,PRCP,41,B,,S,
USC00309690,20170523,SNOW,0,,,7,
USW00014751,20170508,TMIN,33,,,W,
USR0000OFIS,20170506,TAVG,58,,,U,
US1ALMY0009,20170531,PRCP,8,,,N,
USR0000TSAB,20170516,TAVG,259,,,U,
US1MOSG0004,20170529,PRCP,0,,,N,
CA002400637,20170514,WDFG,0,,,C,
US1NMOT0027,20170526,PRCP,0,,,N,
USW00023090,20170512,AWND,38,,,W,
USS0006J15S,20170501,TAVG,36,,,T,
MCM00045011,20170531,TMAX,309,,,S,
USC00215615,20170519,TMAX,139,,,7,0700
USC00404858,20170516,TMIN,133,,,7,2400
USS0015N09S,20170515,TMAX,86,,,T,
CA006137154,20170501,WDFG,24,,,C,
USW00093110,20170517,SNOW,0,,,W,
USR0000CPHI,20170501,TAVG,175,,,U,
USC00049063,20170505,SNWD,1727,,,7,0800
USC00252595,20170531,SNOW,0,,,7,
USC00317845,20170502,SNOW,0,,,7,
USC00470347,20170513,PRCP,0,,,7,0800
USS0012A02S,20170506,WESD,711,,,T,
USR0000CCON,20170512,TMAX,211,H,,U,
CHM00054346,20170528,TMAX,276,,,S,
US1TXDA0077,20170522,PRCP,76,,,N,
USC00488209,20170504,TOBS,228,,,7,1700
USC00358498,20170531,PRCP,5,,,7,0800
CA003032450,20170522,TMIN,66,,,C,
USC00365956,20170514,SNOW,0,,,7,
GLE00147331,20170508,TMAX,68,,,E,
CA004014481,20170522,PRCP,0,,,C,
CA005010641,20170502,TAVG,90,,,C,
USC00043800,20170518,SNOW,0,,,7,
US1MNNR0001,20170523,SNOW,0,,,N,
US1NCWK0235,20170510,PRCP,91,,,N,
RSM00029937,20170519,TMAX,180,,,S,
CA004014040,20170513,SNOW,0,,,C,
USS0010J55S,20170525,TMAX,99,,,T,
USC00054380,20170511,SNOW,0,,,7,
SWE00140776,20170517,SNWD,150,,,E,
CA002303094,20170509,WDFG,19,,,C,
USW00003945,20170517,SNWD,0,,,W,
US1TXDW0018,20170507,PRCP,0,T,,N,
USC00243984,20170528,PRCP,0,,,7,0700
CA004012410,20170528,TMAX,196,,,C,
USW00093027,20170518,TMIN,33,,,W,
US1PABF0009,20170514,PRCP,94,,,N,
USR0000CHAY,20170510,TAVG,169,,,U,
IDM00097180,20170519,TAVG,279,H,,S,
US1OKCN0029,20170517,PRCP,147,,,N,
CHM00059211,20170515,TMIN,215,,,S,
USC00472314,20170522,PRCP,20,,,7,0700
US1ORLN0047,20170531,PRCP,3,,,N,
USC00228374,20170509,SN31,206,,,7,0700
USC00432773,20170514,TMAX,189,,,7,0700
US1ORCB0031,20170502,PRCP,13,,,N,
US1OHAS0002,20170510,PRCP,0,,,N,
GME00121066,20170517,TMAX,227,,,E,
USC00413060,20170502,MXPN,361,,,7,
USC00296006,20170505,SNOW,0,,,7,
CA004015870,20170504,TMAX,225,,,C,
USC00316805,20170513,PRCP,147,,,7,0700
US1NYSR0029,20170521,PRCP,0,,,N,
GME00129718,20170519,PRCP,128,,,E,
USC00011566,20170510,TMIN,133,,,7,0700
USW00004858,20170517,TMAX,306,,,W,
US1ORLN0016,20170530,WESD,0,,,N,
CA003032683,20170531,TMIN,103,,,C,
USW00003178,20170521,WSF2,58,,,W,
US1ALMB0072,20170516,PRCP,0,,,N,
USR0000AKLP,20170521,TAVG,2,,,U,
US1WYFM0021,20170518,SNOW,61,,,N,
NLE00100505,20170502,PRCP,53,,,E,
USC00391076,20170525,PRCP,0,,,7,0800
USW00024138,20170527,WDF5,230,,,W,
ASN00033267,20170512,PRCP,0,,,a,
US1ORMT0015,20170522,SNOW,0,,,N,
US1INWK0020,20170511,PRCP,25,,,N,
GME00130510,20170523,PRCP,0,,,E,
USC00417994,20170504,TMIN,111,,,7,0800
GME00127810,20170509,TMIN,23,,,E,
US1WAPR0020,20170523,PRCP,0,,,N,
USC00256200,20170515,TOBS,128,,,7,0500
US1NMGR0028,20170528,PRCP,0,,,N,
US1ILCP0058,20170517,PRCP,0,,,N,
CA006122847,20170509,TAVG,50,,,C,
CA002302370,20170512,TMAX,-66,,,C,
ASN00091153,20170513,PRCP,210,,,a,
US1CAFR0026,20170501,PRCP,0,,,N,
US1MNHN0052,20170515,SNOW,0,,,N,
USC00350897,20170515,PRCP,30,,,7,0700
USR0000MMCF,20170501,TMIN,28,H,,U,
CA007017380,20170524,TAVG,163,,,C,
ASN00065084,20170524,PRCP,5,,,a,
CA003075937,20170508,TMIN,40,,,C,
USS0006N14S,20170515,PRCP,0,,,T,
US1NCTR0023,20170517,SNOW,0,,,N,
FIE00142106,20170531,PRCP,8,,,E,
ASN00023343,20170521,TMAX,232,,,a,
USW00013970,20170511,WT01,1,,,W,
SWE00140898,20170509,SNWD,600,,,E,
USC00380072,20170520,TOBS,228,,,7,0800
SWE00158796,20170512,TMAX,120,,,E,
USC00306164,20170517,SNWD,0,,,7,
US1WYFM0021,20170513,PRCP,0,,,N,
USC00395325,20170527,TOBS,117,,,7,0800
USC00294028,20170509,SNOW,0,,,H,
USC00050909,20170524,PRCP,0,,,7,0800
USW00003996,20170525,WSF5,85,,,W,
CA007045401,20170529,WDFG,0,,,C,
USC00024761,20170524,PRCP,0,,,7,0600
USC00085539,20170511,TOBS,194,,,7,0800
MX000008142,20170515,TMIN,48,,,S,
US1NCHW0017,20170507,SNOW,0,,,N,
US1ORMT0058,20170525,PRCP,0,,,N,
USC00119021,20170504,SN32,56,,,7,0700
GME00121246,20170519,TMAX,182,,,E,
USR0000HMRG,20170520,TMAX,278,H,,U,
USC00123146,20170527,TMIN,106,,,7,0700
USW00023190,20170520,TMAX,278,,,W,2400
USS0006N03S,20170523,TOBS,47,,,T,
USC00212645,20170511,SNOW,0,,,7,
US1NCIR0008,20170502,PRCP,61,,,N,
USC00194580,20170516,SNWD,0,,,7,0730
ASN00059007,20170513,PRCP,8,,,a,
ASN00040693,20170503,PRCP,0,,,a,
USC00410569,20170507,TMIN,100,,,7,0800
US1ILMY0010,20170512,PRCP,10,,,N,
USC00381770,20170524,PRCP,79,,,7,0800
US1KSTH0018,20170503,SNWD,25,,I,N,
HO000078711,20170519,TMAX,334,,,S,
USC00205406,20170529,SNOW,0,,,7,
MGM00044294,20170527,TMAX,220,,,S,
CA008100593,20170513,WSFG,0,,,C,
USS0015L02S,20170526,TOBS,31,,,T,
US1CACC0018,20170507,SNOW,0,,,N,
USC00028396,20170527,PRCP,0,,,7,0800
USC00412238,20170527,SNWD,0,,,7,
USC00150254,20170514,TOBS,150,,,7,0700
ASN00040913,20170525,TMAX,249,,,a,
USC00410431,20170523,SNOW,0,,,7,
USC00248211,20170530,TMAX,322,,,7,1600
US1NYER0125,20170507,PRCP,122,,,N,
USC00135669,20170522,SNWD,0,,,7,0800
USW00013976,20170515,TMAX,300,,,W,2400
USC00454764,20170530,TMIN,89,,,7,0800
USC00181125,20170512,TMAX,144,,,7,0800
USC00502107,20170517,SNWD,0,,,7,0900
CA00610FC98,20170528,TMIN,90,,,C,
GME00129250,20170506,TMAX,162,,,E,
CA003024925,20170517,PRCP,33,,,C,
USC00161565,20170521,TOBS,200,,,7,2400
US1COGN0059,20170521,WESD,0,,,N,
USW00093874,20170507,WSF2,58,,,W,
US1CATL0017,20170525,SNOW,0,,,N,
CA006010740,20170507,SNWD,210,,,C,
ASN00061031,20170526,PRCP,0,,,a,
US1WIMW0033,20170509,PRCP,0,,,N,
US1FLPB0079,20170529,SNOW,0,,,N,
US1ORMN0060,20170512,PRCP,84,,,N,
US1ARHW0001,20170510,SNOW,0,,,N,
USS0009G03S,20170523,TMIN,-82,,,T,
USC00145421,20170506,SNWD,0,,,7,0700
CA002400637,20170503,TMIN,-134,,,C,
US1MTMS0024,20170502,PRCP,15,,,N,
USC00153929,20170531,TMIN,150,,,7,1600
US1CASN0116,20170525,PRCP,5,,,N,
USC00126001,20170511,SNOW,0,,,7,
USR0000HMOL,20170524,TAVG,233,,,U,
USC00131533,20170510,TMAX,267,,,7,0800
CA007051050,20170522,TMIN,75,,,C,
USC00204320,20170514,PRCP,0,,,7,0700
SWE00137906,20170525,SNWD,0,,,E,
USR0000OCAN,20170526,TMIN,94,H,,U,
USC00200718,20170512,TOBS,44,,,7,0800
USW00093814,20170502,SNOW,0,,,W,
USR0000GLOU,20170507,TMAX,250,H,,U,
US1ORJF0005,20170505,PRCP,48,,,N,
USW00014824,20170509,SNOW,0,,,7,
GME00102404,20170504,SNWD,0,,,E,
USS0022F14S,20170529,TOBS,29,,,T,
US1MOCD0003,20170516,PRCP,0,,,N,
USC00262948,20170508,TMIN,67,,,7,0600
GME00121510,20170521,TMIN,80,,,E,
US1INJH0012,20170525,PRCP,122,,,N,
CA007027840,20170511,SNWD,0,,,C,
US1IACN0008,20170504,PRCP,0,,,N,
CA001105658,20170520,TAVG,110,,,C,
USR0000CBLK,20170517,TMAX,128,H,,U,
SWE00139156,20170528,PRCP,19,,,E,
ASN00026109,20170529,PRCP,10,,,a,
US1MAWR0054,20170527,PRCP,58,,,N,
USC00145530,20170514,PRCP,0,,,7,0800
USC00142548,20170531,TOBS,178,,,7,0700
MKE00100915,20170516,TMAX,188,,,S,
USC00258395,20170530,TMIN,78,,,7,0700
US1MNMK0003,20170503,PRCP,0,,,N,
USC00307425,20170513,SNOW,0,,,7,
USC00475581,20170507,SNWD,0,,,7,0800
CA005021695,20170523,SNWD,0,,,C,
USW00004853,20170517,TMIN,206,,,W,
US1CASD0003,20170504,PRCP,0,,,N,
USC00200497,20170504,TMIN,11,,,7,0800
US1NMLE0022,20170502,SNOW,0,,,N,
US1NMBR0168,20170507,PRCP,0,T,,N,
ASN00045025,20170510,TMAX,251,,,a,
US1ILMG0006,20170514,SNOW,0,,,N,
US1SCCR0099,20170510,PRCP,0,,,N,
US1TXLL0007,20170501,PRCP,0,,,N,
USC00413787,20170511,SNWD,0,,,7,
USC00177238,20170525,SN55,122,,,7,2400
USC00472425,20170508,SNOW,0,,,7,
USW00014775,20170505,TMIN,72,,,W,
USW00013839,20170515,WDF2,30,,,W,
USW00013959,20170503,WDF2,340,,,W,
CA006012199,20170520,TMAX,155,,,C,
US1NMOT0082,20170508,SNWD,0,,,N,
USC00013775,20170516,SNWD,0,,,7,
USC00218323,20170531,TOBS,178,,,7,0800
USC00413992,20170503,TOBS,178,,,7,0600
USC00426644,20170503,TMIN,0,,,7,0930
USC00221738,20170518,TMAX,311,,,7,0800
USC00293142,20170527,SX32,267,,,7,0730
USC00122309,20170504,TMIN,61,,,7,0800
USC00252690,20170521,PRCP,3,,,7,0800
USR0000IGOO,20170529,TMAX,256,H,,U,
US1KSEL0014,20170526,PRCP,132,,,N,
ASN00087168,20170504,PRCP,2,,,a,
USC00406272,20170516,PRCP,0,,,7,2400
USC00028998,20170522,PRCP,0,,,7,0700
US1MOFSA221,20170501,PRCP,0,,,N,
USC00203188,20170528,SNWD,0,,,7,0730
US10nuck020,20170501,PRCP,368,,,N,
IN019180500,20170507,TMIN,290,,,S,
USC00318744,20170517,SNWD,0,,,7,
ASN00027073,20170518,PRCP,0,,,a,
USC00132364,20170531,TOBS,100,,,7,0600
RSM00037054,20170530,TAVG,184,H,,S,
USC00481775,20170529,SNOW,0,,,7,
US1COEP0365,20170511,WESD,0,,,N,
NHM00091557,20170530,TAVG,244,H,,S,
USC00416740,20170522,TOBS,133,,,7,0800
USC00351897,20170528,TMAX,289,,,7,0800
USS0012E08S,20170531,TAVG,133,,,T,
USC00042920,20170506,PRCP,0,,,7,0800
US1GAWL0012,20170515,PRCP,0,,,N,
US1CAPC0001,20170509,SNWD,2413,,,N,
JA000047417,20170507,TMAX,188,,,S,
USC00040449,20170522,PRCP,0,,,7,1600
US1COBO0233,20170502,PRCP,0,T,,N,
US1COEP0303,20170527,PRCP,0,T,,N,
RSM00022939,20170521,PRCP,0,B,,S,
US1COBO0099,20170511,SNOW,0,,,N,
USC00364896,20170530,TMIN,133,,,7,0700
US1NCBR0002,20170502,SNOW,0,,,N,
USC00210355,20170531,TMIN,78,,,7,0700
USC00258751,20170529,TOBS,133,,,7,2200
USW00053974,20170502,TMIN,83,,,R,
ASN00036026,20170518,PRCP,0,,,a,
USW00014817,20170526,TMIN,106,,,7,0800
SPE00120296,20170512,TMAX,180,,,E,
US1IACL0003,20170526,WESD,0,,,N,
US1TXKX0002,20170513,PRCP,0,,,N,
USR0000CBUR,20170529,TMAX,256,H,,U,
USS0016E18S,20170501,AWND,14,,,T,
ASN00009607,20170508,PRCP,0,,,a,
USC00398116,20170509,PRCP,0,,,7,1700
USS0049T03S,20170506,TAVG,-14,,,T,
FRE00171627,20170517,TMIN,107,,,E,
USC00102707,20170511,PRCP,0,,,7,1700
US1TXWK0026,20170514,SNOW,0,,,N,
USC00042402,20170514,SNOW,0,,,7,
USC00478164,20170504,WT01,1,,,7,
USS0020A07S,20170501,SNWD,1346,,,T,
US10perk037,20170528,PRCP,0,,,N,
US1NYER0075,20170510,PRCP,0,T,,N,
USC00151576,20170507,SNOW,0,,,7,
USC00146128,20170528,SNWD,0,,,7,0700
USW00053870,20170525,TMIN,139,,,W,
